year,region,bds_score,fiscal_autonomy_ratio,gdp_2023,cpi,manufacturing_index
2001,경기도,7.1521739130434785,0.78,578124,65.71908333333333,73.55
2001,충청남도,3.13532674883053,0.305,134256,65.71908333333333,73.55
2001,경상남도,3.3839897854031333,0.395,123721,65.71908333333333,73.55
2001,광주광역시,3.795930161977712,0.636,48615,65.71908333333333,73.55
2001,부산광역시,4.458792253899402,0.7440000000000001,103284,65.71908333333333,73.55
2001,충청북도,3.06297240368431,0.365,83254,65.71908333333333,73.55
2001,울산광역시,4.387488951927436,0.764,77569,65.71908333333333,73.55
2001,전라남도,2.5816265109168652,0.22,85319,65.71908333333333,73.55
2001,경상북도,3.081399824586467,0.313,119278,65.71908333333333,73.55
2001,강원도,2.690711060051527,0.298,56534,65.71908333333333,73.55
2001,서울특별시,7.371027667128116,0.956,508134,65.71908333333333,73.55
2001,인천광역시,4.6165248480009655,0.777,111713,65.71908333333333,73.55
2001,대전광역시,4.189226516376651,0.7490000000000001,50363,65.71908333333333,73.55
2001,제주특별자치도,2.644021739130435,0.336,24073,65.71908333333333,73.55
2001,대구광역시,4.297716288704155,0.753,67890,65.71908333333333,73.55
2001,전라북도,2.6318928268002795,0.2769999999999999,58845,65.71908333333333,73.55
2002,경기도,7.1116310160427805,0.765,578124,67.53441666666667,79.95
2002,충청남도,3.1006146179307397,0.284,134256,67.53441666666667,79.95
2002,경상남도,3.307608565919292,0.363,123721,67.53441666666667,79.95
2002,광주광역시,3.7465230473532056,0.616,48615,67.53441666666667,79.95
2002,부산광역시,4.3132592383216295,0.6970000000000001,103284,67.53441666666667,79.95
2002,충청북도,2.9748569944771486,0.3289999999999999,83254,67.53441666666667,79.95
2002,울산광역시,4.087122758019043,0.6709999999999999,77569,67.53441666666667,79.95
2002,전라남도,2.5816265109168652,0.208,85319,67.53441666666667,79.95
2002,경상북도,3.0763319624613796,0.301,119278,67.53441666666667,79.95
2002,강원도,2.666407119107561,0.28,56534,67.53441666666667,79.95
2002,서울특별시,7.371027667128116,0.956,508134,67.53441666666667,79.95
2002,인천광역시,4.515985002616171,0.7440000000000001,111713,67.53441666666667,79.95
2002,대전광역시,4.1570573987295925,0.736,50363,67.53441666666667,79.95
2002,제주특별자치도,2.7780748663101607,0.366,24073,67.53441666666667,79.95
2002,대구광역시,4.104901391005946,0.6920000000000001,67890,67.53441666666667,79.95
2002,전라북도,2.6221022257772617,0.263,58845,67.53441666666667,79.95
2003,경기도,7.152536715620828,0.78,578124,69.90816666666667,80.03333333333333
2003,충청남도,3.1403288893657373,0.298,134256,69.90816666666667,80.03333333333333
2003,경상남도,3.330281398858755,0.372,123721,69.90816666666667,80.03333333333333
2003,광주광역시,3.7847558425953465,0.63,48615,69.90816666666667,80.03333333333333
