region,year,value
서울특별시,2020,100.00833333333333
부산광역시,2020,100.00833333333333
대구광역시,2020,100.00833333333333
인천광역시,2020,100.00833333333333
광주광역시,2020,100.00833333333333
대전광역시,2020,100.00833333333333
울산광역시,2020,100.00833333333333
세종특별자치시,2020,100.00833333333333
경기도,2020,100.00833333333333
강원도,2020,100.00833333333333
충청북도,2020,100.00833333333333
충청남도,2020,100.00833333333333
전라북도,2020,100.00833333333333
전라남도,2020,100.00833333333333
경상북도,2020,100.00833333333333
경상남도,2020,100.00833333333333
제주특별자치도,2020,100.00833333333333
서울특별시,2021,109.66666666666667
부산광역시,2021,109.66666666666667
대구광역시,2021,109.66666666666667
인천광역시,2021,109.66666666666667
광주광역시,2021,109.66666666666667
대전광역시,2021,109.66666666666667
울산광역시,2021,109.66666666666667
세종특별자치시,2021,109.66666666666667
경기도,2021,109.66666666666667
강원도,2021,109.66666666666667
충청북도,2021,109.66666666666667
충청남도,2021,109.66666666666667
전라북도,2021,109.66666666666667
전라남도,2021,109.66666666666667
경상북도,2021,109.66666666666667
경상남도,2021,109.66666666666667
제주특별자치도,2021,109.66666666666667
서울특별시,2022,115.875
부산광역시,2022,115.875
대구광역시,2022,115.875
인천광역시,2022,115.875
광주광역시,2022,115.875
대전광역시,2022,115.875
울산광역시,2022,115.875
세종특별자치시,2022,115.875
경기도,2022,115.875
강원도,2022,115.875
충청북도,2022,115.875
충청남도,2022,115.875
전라북도,2022,115.875
전라남도,2022,115.875
경상북도,2022,115.875
경상남도,2022,115.875
제주특별자치도,2022,115.875
서울특별시,2023,109.71666666666665
부산광역시,2023,109.71666666666665
대구광역시,2023,109.71666666666665
인천광역시,2023,109.71666666666665
광주광역시,2023,109.71666666666665
대전광역시,2023,109.71666666666665
울산광역시,2023,109.71666666666665
세종특별자치시,2023,109.71666666666665
경기도,2023,109.71666666666665
강원도,2023,109.71666666666665
충청북도,2023,109.71666666666665
충청남도,2023,109.71666666666665
전라북도,2023,109.71666666666665
전라남도,2023,109.71666666666665
경상북도,2023,109.71666666666665
경상남도,2023,109.71666666666665
제주특별자치도,2023,109.71666666666665
서울특별시,2024,115.18333333333334
부산광역시,2024,115.18333333333334
대구광역시,2024,115.18333333333334
인천광역시,2024,115.18333333333334
광주광역시,2024,115.18333333333334
대전광역시,2024,115.18333333333334
울산광역시,2024,115.18333333333334
세종특별자치시,2024,115.18333333333334
경기도,2024,115.18333333333334
강원도,2024,115.18333333333334
충청북도,2024,115.18333333333334
충청남도,2024,115.18333333333334
전라북도,2024,115.18333333333334
전라남도,2024,115.18333333333334
경상북도,2024,115.18333333333334
경상남도,2024,115.18333333333334
제주특별자치도,2024,115.18333333333334
