id,stat_code,item_code,item_name,unit,cycle_type,created_at
93,101Y004,,"M2(평잔, 원계열)",,A,2025-08-25 01:12:50
94,101Y004,,"M2(평잔, 원계열)",,M,2025-08-25 01:12:50
95,101Y004,,"M2(평잔, 원계열)",,Q,2025-08-25 01:12:50
96,101Y004,,현금통화,,A,2025-08-25 01:12:50
97,101Y004,,현금통화,,M,2025-08-25 01:12:50
98,101Y004,,현금통화,,Q,2025-08-25 01:12:50
99,101Y004,,요구불예금,,A,2025-08-25 01:12:50
100,101Y004,,요구불예금,,M,2025-08-25 01:12:50
101,101Y004,,요구불예금,,Q,2025-08-25 01:12:50
102,101Y004,,수시입출식저축성예금,,A,2025-08-25 01:12:50
103,101Y004,,수시입출식저축성예금,,M,2025-08-25 01:12:50
104,101Y004,,수시입출식저축성예금,,Q,2025-08-25 01:12:50
105,101Y004,,MMF,,A,2025-08-25 01:12:50
106,101Y004,,MMF,,M,2025-08-25 01:12:50
107,101Y004,,MMF,,Q,2025-08-25 01:12:50
108,101Y004,,만기2년미만정기예적금,,A,2025-08-25 01:12:50
109,101Y004,,만기2년미만정기예적금,,M,2025-08-25 01:12:50
110,101Y004,,만기2년미만정기예적금,,Q,2025-08-25 01:12:50
111,101Y004,,양도성예금증서,,A,2025-08-25 01:12:50
112,101Y004,,양도성예금증서,,M,2025-08-25 01:12:50
113,101Y004,,양도성예금증서,,Q,2025-08-25 01:12:50
114,101Y004,,매출어음,,A,2025-08-25 01:12:50
115,101Y004,,매출어음,,M,2025-08-25 01:12:50
116,101Y004,,매출어음,,Q,2025-08-25 01:12:50
117,101Y004,,CMA,,A,2025-08-25 01:12:50
118,101Y004,,CMA,,M,2025-08-25 01:12:50
119,101Y004,,CMA,,Q,2025-08-25 01:12:50
120,101Y004,,수익증권,,A,2025-08-25 01:12:50
121,101Y004,,수익증권,,M,2025-08-25 01:12:50
122,101Y004,,수익증권,,Q,2025-08-25 01:12:50
123,101Y004,,만기2년미만금전신탁,,A,2025-08-25 01:12:50
124,101Y004,,만기2년미만금전신탁,,M,2025-08-25 01:12:50
125,101Y004,,만기2년미만금전신탁,,Q,2025-08-25 01:12:50
126,101Y004,,발행어음,,A,2025-08-25 01:12:50
127,101Y004,,발행어음,,M,2025-08-25 01:12:50
128,101Y004,,발행어음,,Q,2025-08-25 01:12:50
129,101Y004,,신탁형증권저축,,A,2025-08-25 01:12:50
130,101Y004,,신탁형증권저축,,M,2025-08-25 01:12:50
131,101Y004,,신탁형증권저축,,Q,2025-08-25 01:12:50
132,101Y004,,만기2년미만외화예수금,,A,2025-08-25 01:12:50
133,101Y004,,만기2년미만외화예수금,,M,2025-08-25 01:12:50
134,101Y004,,만기2년미만외화예수금,,Q,2025-08-25 01:12:50
135,101Y004,,만기2년미만금융채,,A,2025-08-25 01:12:50
136,101Y004,,만기2년미만금융채,,M,2025-08-25 01:12:50
137,101Y004,,만기2년미만금융채,,Q,2025-08-25 01:12:50
138,101Y004,,환매조건부채권매도,,A,2025-08-25 01:12:50
139,101Y004,,환매조건부채권매도,,M,2025-08-25 01:12:50
140,101Y004,,환매조건부채권매도,,Q,2025-08-25 01:12:50
141,101Y001,,"M2(말잔, 계절조정계열)",,A,2025-08-25 01:12:51
142,101Y001,,"M2(말잔, 계절조정계열)",,M,2025-08-25 01:12:51
143,101Y001,,현금통화,,A,2025-08-25 01:12:51
144,101Y001,,현금통화,,M,2025-08-25 01:12:51
145,101Y001,,요구불예금,,A,2025-08-25 01:12:51
146,101Y001,,요구불예금,,M,2025-08-25 01:12:51
147,101Y001,,수시입출식저축성예금,,A,2025-08-25 01:12:51
148,101Y001,,수시입출식저축성예금,,M,2025-08-25 01:12:51
149,101Y001,,MMF,,A,2025-08-25 01:12:51
150,101Y001,,MMF,,M,2025-08-25 01:12:51
151,101Y001,,만기2년미만정기예적금,,A,2025-08-25 01:12:51
152,101Y001,,만기2년미만정기예적금,,M,2025-08-25 01:12:51
153,101Y001,,수익증권,,A,2025-08-25 01:12:51
154,101Y001,,수익증권,,M,2025-08-25 01:12:51
155,101Y001,,시장형상품 1),,A,2025-08-25 01:12:51
156,101Y001,,시장형상품 1),,M,2025-08-25 01:12:51
157,101Y001,,만기2년미만금융채,,A,2025-08-25 01:12:51
158,101Y001,,만기2년미만금융채,,M,2025-08-25 01:12:51
159,101Y001,,만기2년미만금전신탁,,A,2025-08-25 01:12:51
160,101Y001,,만기2년미만금전신탁,,M,2025-08-25 01:12:51
161,101Y001,,기타 2),,A,2025-08-25 01:12:51
162,101Y001,,기타 2),,M,2025-08-25 01:12:51
163,101Y002,,"M2(말잔, 원계열)",,A,2025-08-25 01:12:51
164,101Y002,,"M2(말잔, 원계열)",,M,2025-08-25 01:12:51
165,101Y002,,"M2(말잔, 원계열)",,Q,2025-08-25 01:12:51
166,101Y002,,현금통화,,A,2025-08-25 01:12:51
167,101Y002,,현금통화,,M,2025-08-25 01:12:51
168,101Y002,,현금통화,,Q,2025-08-25 01:12:51
169,101Y002,,요구불예금,,A,2025-08-25 01:12:51
170,101Y002,,요구불예금,,M,2025-08-25 01:12:51
171,101Y002,,요구불예금,,Q,2025-08-25 01:12:51
172,101Y002,,수시입출식저축성예금,,A,2025-08-25 01:12:51
173,101Y002,,수시입출식저축성예금,,M,2025-08-25 01:12:51
174,101Y002,,수시입출식저축성예금,,Q,2025-08-25 01:12:51
175,101Y002,,MMF,,A,2025-08-25 01:12:51
176,101Y002,,MMF,,M,2025-08-25 01:12:51
177,101Y002,,MMF,,Q,2025-08-25 01:12:51
178,101Y002,,만기2년미만정기예적금,,A,2025-08-25 01:12:51
179,101Y002,,만기2년미만정기예적금,,M,2025-08-25 01:12:51
180,101Y002,,만기2년미만정기예적금,,Q,2025-08-25 01:12:51
181,101Y002,,양도성예금증서,,A,2025-08-25 01:12:51
182,101Y002,,양도성예금증서,,M,2025-08-25 01:12:51
183,101Y002,,양도성예금증서,,Q,2025-08-25 01:12:51
184,101Y002,,매출어음,,A,2025-08-25 01:12:51
185,101Y002,,매출어음,,M,2025-08-25 01:12:51
186,101Y002,,매출어음,,Q,2025-08-25 01:12:51
187,101Y002,,CMA,,A,2025-08-25 01:12:51
188,101Y002,,CMA,,M,2025-08-25 01:12:51
189,101Y002,,CMA,,Q,2025-08-25 01:12:51
190,101Y002,,수익증권,,A,2025-08-25 01:12:51
191,101Y002,,수익증권,,M,2025-08-25 01:12:51
192,101Y002,,수익증권,,Q,2025-08-25 01:12:51
193,101Y002,,만기2년미만금전신탁,,A,2025-08-25 01:12:51
194,101Y002,,만기2년미만금전신탁,,M,2025-08-25 01:12:51
195,101Y002,,만기2년미만금전신탁,,Q,2025-08-25 01:12:51
196,101Y002,,발행어음,,A,2025-08-25 01:12:51
197,101Y002,,발행어음,,M,2025-08-25 01:12:51
198,101Y002,,발행어음,,Q,2025-08-25 01:12:51
