id,stat_code,item_code,item_name,unit,cycle_type,raw_item_name,created_at
69,101Y017,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:40
70,101Y017,,수시입출식저축성예금,,Q,수시입출식저축성예금,2025-08-25 01:14:40
71,101Y003,,"M2(평잔, 계절조정계열)",,A,"M2(평잔, 계절조정계열)",2025-08-25 01:14:42
72,101Y003,,"M2(평잔, 계절조정계열)",,M,"M2(평잔, 계절조정계열)",2025-08-25 01:14:42
73,101Y003,,현금통화,,A,현금통화,2025-08-25 01:14:42
74,101Y003,,현금통화,,M,현금통화,2025-08-25 01:14:42
75,101Y003,,요구불예금,,A,요구불예금,2025-08-25 01:14:42
76,101Y003,,요구불예금,,M,요구불예금,2025-08-25 01:14:42
77,101Y003,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:42
78,101Y003,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:42
79,101Y003,,MMF,,A,MMF,2025-08-25 01:14:42
80,101Y003,,MMF,,M,MMF,2025-08-25 01:14:42
81,101Y003,,만기2년미만정기예적금,,A,만기2년미만정기예적금,2025-08-25 01:14:42
82,101Y003,,만기2년미만정기예적금,,M,만기2년미만정기예적금,2025-08-25 01:14:42
83,101Y003,,수익증권,,A,수익증권,2025-08-25 01:14:42
84,101Y003,,수익증권,,M,수익증권,2025-08-25 01:14:42
85,101Y003,,시장형상품 1),,A,시장형상품 1),2025-08-25 01:14:42
86,101Y003,,시장형상품 1),,M,시장형상품 1),2025-08-25 01:14:42
87,101Y003,,만기2년미만금융채,,A,만기2년미만금융채,2025-08-25 01:14:42
88,101Y003,,만기2년미만금융채,,M,만기2년미만금융채,2025-08-25 01:14:42
89,101Y003,,만기2년미만금전신탁,,A,만기2년미만금전신탁,2025-08-25 01:14:42
90,101Y003,,만기2년미만금전신탁,,M,만기2년미만금전신탁,2025-08-25 01:14:42
91,101Y003,,기타 2),,A,기타 2),2025-08-25 01:14:42
92,101Y003,,기타 2),,M,기타 2),2025-08-25 01:14:42
93,101Y004,,"M2(평잔, 원계열)",,A,"M2(평잔, 원계열)",2025-08-25 01:14:43
94,101Y004,,"M2(평잔, 원계열)",,M,"M2(평잔, 원계열)",2025-08-25 01:14:43
95,101Y004,,"M2(평잔, 원계열)",,Q,"M2(평잔, 원계열)",2025-08-25 01:14:43
96,101Y004,,현금통화,,A,현금통화,2025-08-25 01:14:43
97,101Y004,,현금통화,,M,현금통화,2025-08-25 01:14:43
98,101Y004,,현금통화,,Q,현금통화,2025-08-25 01:14:43
99,101Y004,,요구불예금,,A,요구불예금,2025-08-25 01:14:43
100,101Y004,,요구불예금,,M,요구불예금,2025-08-25 01:14:43
101,101Y004,,요구불예금,,Q,요구불예금,2025-08-25 01:14:43
102,101Y004,,수시입출식저축성예금,,A,수시입출식저축성예금,2025-08-25 01:14:43
103,101Y004,,수시입출식저축성예금,,M,수시입출식저축성예금,2025-08-25 01:14:43
104,101Y004,,수시입출식저축성예금,,Q,수시입출식저축성예금,2025-08-25 01:14:43
105,101Y004,,MMF,,A,MMF,2025-08-25 01:14:43
106,101Y004,,MMF,,M,MMF,2025-08-25 01:14:43
107,101Y004,,MMF,,Q,MMF,2025-08-25 01:14:43
108,101Y004,,만기2년미만정기예적금,,A,만기2년미만정기예적금,2025-08-25 01:14:43
109,101Y004,,만기2년미만정기예적금,,M,만기2년미만정기예적금,2025-08-25 01:14:43
110,101Y004,,만기2년미만정기예적금,,Q,만기2년미만정기예적금,2025-08-25 01:14:43
111,101Y004,,양도성예금증서,,A,양도성예금증서,2025-08-25 01:14:43
112,101Y004,,양도성예금증서,,M,양도성예금증서,2025-08-25 01:14:43
113,101Y004,,양도성예금증서,,Q,양도성예금증서,2025-08-25 01:14:43
114,101Y004,,매출어음,,A,매출어음,2025-08-25 01:14:43
115,101Y004,,매출어음,,M,매출어음,2025-08-25 01:14:43
116,101Y004,,매출어음,,Q,매출어음,2025-08-25 01:14:43
117,101Y004,,CMA,,A,CMA,2025-08-25 01:14:43
118,101Y004,,CMA,,M,CMA,2025-08-25 01:14:43
119,101Y004,,CMA,,Q,CMA,2025-08-25 01:14:43
120,101Y004,,수익증권,,A,수익증권,2025-08-25 01:14:43
121,101Y004,,수익증권,,M,수익증권,2025-08-25 01:14:43
122,101Y004,,수익증권,,Q,수익증권,2025-08-25 01:14:43
123,101Y004,,만기2년미만금전신탁,,A,만기2년미만금전신탁,2025-08-25 01:14:43
124,101Y004,,만기2년미만금전신탁,,M,만기2년미만금전신탁,2025-08-25 01:14:43
125,101Y004,,만기2년미만금전신탁,,Q,만기2년미만금전신탁,2025-08-25 01:14:43
126,101Y004,,발행어음,,A,발행어음,2025-08-25 01:14:43
127,101Y004,,발행어음,,M,발행어음,2025-08-25 01:14:43
128,101Y004,,발행어음,,Q,발행어음,2025-08-25 01:14:43
129,101Y004,,신탁형증권저축,,A,신탁형증권저축,2025-08-25 01:14:43
