year,region,fiscal_autonomy_ratio,fiscal_independence_ratio,source
2008,경상남도,0.39399999999999996,0.745,KOSIS
2008,인천광역시,0.71,0.8029999999999999,KOSIS
2008,부산광역시,0.605,0.754,KOSIS
2008,서울특별시,0.883,0.9359999999999999,KOSIS
2008,충청북도,0.342,0.7609999999999999,KOSIS
2008,전국,0.539,0.795,KOSIS
2008,경상북도,0.287,0.7509999999999999,KOSIS
2008,광주광역시,0.526,0.742,KOSIS
2008,충청남도,0.37799999999999995,0.735,KOSIS
2008,대전광역시,0.664,0.8009999999999999,KOSIS
2008,경기도,0.763,0.852,KOSIS
2009,울산광역시,0.677,0.802,KOSIS
2009,대구광역시,0.547,0.753,KOSIS
2009,강원도,0.28,0.754,KOSIS
2009,전라북도,0.23600000000000002,0.7170000000000001,KOSIS
2009,제주특별자치도,0.252,0.65,KOSIS
2009,전라남도,0.19399999999999998,0.679,KOSIS
2009,경상남도,0.39399999999999996,0.75,KOSIS
2009,인천광역시,0.742,0.82,KOSIS
2009,부산광역시,0.583,0.74,KOSIS
2009,서울특별시,0.92,0.937,KOSIS
2009,충청북도,0.33299999999999996,0.746,KOSIS
2009,전국,0.536,0.789,KOSIS
2009,경상북도,0.27699999999999997,0.746,KOSIS
2009,광주광역시,0.483,0.736,KOSIS
2009,충청남도,0.366,0.7240000000000001,KOSIS
2009,대전광역시,0.593,0.745,KOSIS
2009,경기도,0.759,0.8440000000000001,KOSIS
2010,울산광역시,0.672,0.7879999999999999,KOSIS
2010,대구광역시,0.563,0.736,KOSIS
2010,강원도,0.271,0.7170000000000001,KOSIS
2010,전라북도,0.24600000000000002,0.6890000000000001,KOSIS
2010,제주특별자치도,0.261,0.621,KOSIS
2010,전라남도,0.20600000000000002,0.644,KOSIS
2010,경상남도,0.429,0.733,KOSIS
2010,인천광역시,0.7040000000000001,0.8009999999999999,KOSIS
2010,부산광역시,0.5760000000000001,0.725,KOSIS
2010,서울특별시,0.858,0.872,KOSIS
2010,충청북도,0.337,0.7090000000000001,KOSIS
2010,전국,0.522,0.757,KOSIS
2010,경상북도,0.293,0.73,KOSIS
2010,광주광역시,0.475,0.6920000000000001,KOSIS
2010,충청남도,0.366,0.7170000000000001,KOSIS
2010,대전광역시,0.563,0.7190000000000001,KOSIS
2010,경기도,0.728,0.815,KOSIS
2011,울산광역시,0.691,0.81,KOSIS
2011,대구광역시,0.535,0.741,KOSIS
2011,강원도,0.275,0.733,KOSIS
2011,전라북도,0.245,0.6779999999999999,KOSIS
2011,제주특별자치도,0.251,0.639,KOSIS
2011,전라남도,0.207,0.652,KOSIS
